timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1741766556.909916 0.09920703 -0.04686715 -0.00707197 0.00140630 -0.00087372 -0.00139533
1741766557.043321 0.09951280 -0.04689934 -0.00701862 0.00137455 -0.00087373 -0.00141297
1741766557.176871 0.09904207 -0.04642462 -0.00737762 0.00136776 -0.00091463 -0.00143230
1741766557.310165 0.09818782 -0.04664688 -0.00759554 0.00141477 -0.00089570 -0.00144779
1741766557.443606 0.09942748 -0.04608807 -0.00650624 0.00140285 -0.00080967 -0.00145649
1741766557.577051 0.09757386 -0.04669904 -0.00771710 0.00140077 -0.00085991 -0.00141786
1741766557.710506 0.09752833 -0.04665581 -0.00737440 0.00137952 -0.00086147 -0.00141892
1741766557.843989 0.09581003 -0.05048398 -0.00714445 0.00148603 -0.00101826 -0.00139368
1741766557.977429 0.09608500 -0.04459545 -0.00716178 0.00137606 -0.00099054 -0.00155006
1741766558.110914 0.09587802 -0.04394235 -0.00743566 0.00140038 -0.00081413 -0.00153050
1741766558.244381 0.09407348 -0.05212136 -0.00966306 0.00142604 -0.00109108 -0.00124342
1741766558.377663 0.09556660 -0.04406356 -0.00763172 0.00139965 -0.00082261 -0.00145843
1741766558.511163 0.09536129 -0.04381280 -0.00767808 0.00139058 -0.00077625 -0.00145306
1741766558.644831 0.09551100 -0.04419843 -0.00735864 0.00139748 -0.00076594 -0.00147878
1741766558.777986 0.09517920 -0.04367299 -0.00762628 0.00142118 -0.00078845 -0.00144773
1741766558.911374 0.09385233 -0.04325104 -0.00792472 0.00142500 -0.00073003 -0.00142981
1741766559.044799 0.09052901 -0.04411439 -0.00803922 0.00136211 -0.00065829 -0.00145483
1741766559.178325 0.08925554 -0.04406228 -0.00823995 0.00134395 -0.00071351 -0.00142174
1741766559.311761 0.08943354 -0.04333136 -0.00813253 0.00133370 -0.00073608 -0.00140843
1741766559.445219 0.08845685 -0.04333379 -0.00834428 0.00128383 -0.00083477 -0.00139557
1741766559.578567 0.08735622 -0.04353216 -0.00849026 0.00132607 -0.00074527 -0.00137625
1741766559.712078 0.08402509 -0.04140161 -0.00882129 0.00127994 -0.00070016 -0.00136712
1741766559.845480 0.08206660 -0.04028270 -0.00890009 0.00125805 -0.00069377 -0.00136396
1741766559.979185 0.08124073 -0.03947142 -0.00896850 0.00123891 -0.00072275 -0.00135806
1741766560.112319 0.07957177 -0.03456484 -0.00905970 0.00117147 -0.00069102 -0.00138608
1741766560.245743 0.07982871 -0.04064320 -0.00873599 0.00117799 -0.00072537 -0.00137003
1741766560.379248 0.08098748 -0.04252147 -0.00853885 0.00122185 -0.00078805 -0.00135812
1741766560.512606 0.08180095 -0.04234127 -0.00841156 0.00119270 -0.00078787 -0.00134539
1741766560.646025 0.08365147 -0.04270480 -0.00833941 0.00119648 -0.00078373 -0.00134474
1741766560.779475 0.08334374 -0.04045829 -0.00848247 0.00123373 -0.00071197 -0.00131118
